id,ja_name,scientific_name,family,genus,leaf_persistence,leaf_type,leaf_complexity,leaf_arrangement,leaf_margin,serration,source_note,source_page,review_status,review_confidence,needs_review_reason,family_ja_ocr,family_latin_ocr,genus_ja_ocr,genus_latin_ocr,leaf_type_ocr,leaf_complexity_ocr,leaf_arrangement_ocr,leaf_margin_ocr,serration_ocr,trait_label_texts_ocr,trait_terms_detected_all_text
hayashi-2019-s023-l,ソテツ,,ソテツ科,Cycas,常緑,広葉樹,羽状複葉,束生,全縁,なし,林将之 (2019)『樹木の葉』 p.44 OCR候補。公開前に要確認,44,needs_review,high,scientific_name_excluded_from_public_candidate,ソテツ科,Cycadaceae,ソテツ属,Cycas,,羽状複葉;複葉,束状,全縁,,羽状複葉;束状;全縁;常緑樹,常緑;羽状複葉;複葉;束状;全縁
hayashi-2019-s023-r,イチョウ,,イチョウ科,Ginkgo,落葉,広葉樹,単葉,互生,全縁;鋸歯縁,あり,林将之 (2019)『樹木の葉』 p.45 OCR候補。公開前に要確認,45,needs_review,medium,low_mean_ocr_confidence;scientific_name_excluded_from_public_candidate,イチョウ科,Ginkgoaceae,イチョウ属,Ginkgo,,不分裂葉;分裂葉,互生,全縁,鋸歯,不分裂葉・分裂葉互生;鋸歯縁・全縁;落葉樹,落葉;不分裂葉;分裂葉;互生;束生;全縁;切れ込み;深裂;鋸歯
hayashi-2019-s024-l,アカマツ,,マツ科,Pinus,常緑,針葉樹,単葉,束生,,,林将之 (2019)『樹木の葉』 p.46 OCR候補。公開前に要確認,46,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,マツ属,Pinus,針状葉,,束状,,,針状葉;針状葉 束状;束状;常緑樹,常緑;針状葉;束生;束状
hayashi-2019-s024-r,クロマツ,,マツ科,Pinus,常緑,針葉樹,単葉,束生,,,林将之 (2019)『樹木の葉』 p.47 OCR候補。公開前に要確認,47,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,マツ属,Pinus,針状葉,,束生;束状,,,針状葉;束状;常緑樹;束生する,常緑;針状葉;束生;束状
hayashi-2019-s025-l,ゴヨウマツ,,マツ科,Pinus,常緑,針葉樹,単葉,束生,,,林将之 (2019)『樹木の葉』 p.48 OCR候補。公開前に要確認,48,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,マツ属,Pinus,針状葉,,束状,,,針状葉 束状;針状葉;束状;常緑樹,常緑;針状葉;束状
hayashi-2019-s025-r,ハイマツ,,マツ科,Pinus,,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.49 OCR候補。公開前に要確認,49,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,マツ属,Pinus,針状葉,,,,,針状葉,針状葉;針葉
hayashi-2019-s026-l,ダイオウマツ,,マツ科,Pinus,常緑,針葉樹,単葉,束生,,,林将之 (2019)『樹木の葉』 p.50 OCR候補。公開前に要確認,50,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,マツ属,Pinus,針状葉,,束状,,,針状葉;針状葉 束状;束状;常緑樹,常緑;針状葉;束生;束状
hayashi-2019-s026-r,ヒマラヤスギ,,マツ科,Cedrus,,針葉樹,単葉,束生,,,林将之 (2019)『樹木の葉』 p.51 OCR候補。公開前に要確認,51,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,ヒマラヤスギ属,Cedrus,針状葉,,束状,,,針状葉;束状,針状葉;束生;束状
hayashi-2019-s027-l,カラマツ,,マツ科,Larix,落葉,針葉樹,単葉,束生,,,林将之 (2019)『樹木の葉』 p.52 OCR候補。公開前に要確認,52,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,カラマツ属,Larix,針状葉,,束状,,,針状葉 束状;針状葉;束状;落葉樹,落葉;針状葉;針葉;束状
hayashi-2019-s027-r,トドマツ,,マツ科,Abies,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.53 OCR候補。公開前に要確認,53,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,モミ属,Abies,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
hayashi-2019-s028-l,シラビソ,,マツ科,Abies,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.54 OCR候補。公開前に要確認,54,needs_review,high,genus_latin_corrected_by_rule;scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,モミ属,Ables,針状葉,,はね状,,,針状葉 はね状;針状葉;はね状;常緑樹,常緑;針状葉;はね状
hayashi-2019-s028-r,オオシラビソ,,マツ科,Abies,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.55 OCR候補。公開前に要確認,55,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,モミ属,Abies,針状葉,,はね状,,,"針状葉;""はね状;常緑樹",常緑;針状葉;はね状
hayashi-2019-s029-l,モミ,,マツ科,Abies,,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.56 OCR候補。公開前に要確認,56,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,モミ属,Abies,針状葉,,はね状,,,針状葉 はね状;針状葉;はね状,針状葉;はね状
hayashi-2019-s029-r,ウラジロモミ,,マツ科,Abies,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.57 OCR候補。公開前に要確認,57,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,モミ属,Abies,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
hayashi-2019-s030-l,ツガ,,マツ科,Tsuga,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.58 OCR候補。公開前に要確認,58,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,ツガ属,Tsuga,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
hayashi-2019-s030-r,コメツガ,,マツ科,Tsuga/Pseudotsuga,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.59 OCR候補。公開前に要確認,59,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,ツガ属,Tsuga/Pseudotsuga,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;針葉;はね状
hayashi-2019-s031-l,トウヒ,,マツ科,Picea,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.60 OCR候補。公開前に要確認,60,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,トウヒ属,Picea,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
hayashi-2019-s031-r,アカエゾマツ,,マツ科,Picea,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.61 OCR候補。公開前に要確認,61,needs_review,high,genus_latin_corrected_by_rule;scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,トウヒ属,Piceacea,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
hayashi-2019-s032-l,ハリモミ,,マツ科,Picea,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.62 OCR候補。公開前に要確認,62,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,トウヒ属,Picea,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;針葉;はね状
hayashi-2019-s032-r,ヒメバラモミ,,マツ科,Picea,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.63 OCR候補。公開前に要確認,63,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,トウヒ属,Picea,針状葉,,はね状,,,"針状葉;""はね状;常緑樹",常緑;針状葉;はね状
hayashi-2019-s033-l,ドイツトウヒ,,マツ科,Picea,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.64|54 OCR候補。公開前に要確認,64|54,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,トウヒ属,Picea,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
hayashi-2019-s033-r,ナギ,,マキ科,Nageia,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.65 OCR候補。公開前に要確認,65,needs_review,high,scientific_name_excluded_from_public_candidate,マキ科,Podocarpaceae,ナギ属,Nageia,,不分裂葉;分裂葉,,,,不分裂葉;常緑樹,常緑;針葉;広葉;不分裂葉;分裂葉;対生
hayashi-2019-s034-l,イヌマキ,,マキ科,Podocarpus,常緑,針葉樹,単葉,束生,,,林将之 (2019)『樹木の葉』 p.66 OCR候補。公開前に要確認,66,needs_review,high,scientific_name_excluded_from_public_candidate,マキ科,Podocarpaceae,イヌマキ属,Podocarpus,針状葉,,束状,,,針状葉 束状;針状葉;束状;常緑樹,常緑;針状葉;針葉;束状
hayashi-2019-s034-r,コウヤマキ,,コウヤマキ科,Sciadopitys,常緑,針葉樹,単葉,束生,,,林将之 (2019)『樹木の葉』 p.67 OCR候補。公開前に要確認,67,needs_review,high,scientific_name_excluded_from_public_candidate,コウヤマキ科,Sciadopityaceae,コウヤマキ属,Sciadopitys,針状葉,,束状,,,針状葉;束状;常緑樹,常緑;針状葉;束生;束状
