id,ja_name,scientific_name,family,genus,leaf_persistence,leaf_type,leaf_complexity,leaf_arrangement,leaf_margin,serration,source_note,reference_page,review_status,review_confidence,needs_review_reason,family_ja_raw,family_latin_raw,genus_ja_raw,genus_latin_raw,leaf_type_raw,leaf_complexity_raw,leaf_arrangement_raw,leaf_margin_raw,serration_raw,trait_label_terms_raw,trait_terms_raw
trait-candidate-0001,ソテツ,,ソテツ科,Cycas,常緑,広葉樹,羽状複葉,束生,全縁,なし,入力支援候補。公開前に要確認,44,needs_review,high,scientific_name_excluded_from_public_candidate,ソテツ科,Cycadaceae,ソテツ属,Cycas,,羽状複葉;複葉,束状,全縁,,羽状複葉;束状;全縁;常緑樹,常緑;羽状複葉;複葉;束状;全縁
trait-candidate-0002,イチョウ,,イチョウ科,Ginkgo,落葉,広葉樹,単葉,互生,全縁;鋸歯縁,あり,入力支援候補。公開前に要確認,45,needs_review,medium,low_mean_recognition_confidence;scientific_name_excluded_from_public_candidate,イチョウ科,Ginkgoaceae,イチョウ属,Ginkgo,,不分裂葉;分裂葉,互生,全縁,鋸歯,不分裂葉・分裂葉互生;鋸歯縁・全縁;落葉樹,落葉;不分裂葉;分裂葉;互生;束生;全縁;切れ込み;深裂;鋸歯
trait-candidate-0003,アカマツ,,マツ科,Pinus,常緑,針葉樹,単葉,束生,,,入力支援候補。公開前に要確認,46,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,マツ属,Pinus,針状葉,,束状,,,針状葉;針状葉 束状;束状;常緑樹,常緑;針状葉;束生;束状
trait-candidate-0004,クロマツ,,マツ科,Pinus,常緑,針葉樹,単葉,束生,,,入力支援候補。公開前に要確認,47,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,マツ属,Pinus,針状葉,,束生;束状,,,針状葉;束状;常緑樹;束生する,常緑;針状葉;束生;束状
trait-candidate-0005,ゴヨウマツ,,マツ科,Pinus,常緑,針葉樹,単葉,束生,,,入力支援候補。公開前に要確認,48,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,マツ属,Pinus,針状葉,,束状,,,針状葉 束状;針状葉;束状;常緑樹,常緑;針状葉;束状
trait-candidate-0006,ハイマツ,,マツ科,Pinus,,針葉樹,単葉,,,,入力支援候補。公開前に要確認,49,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,マツ属,Pinus,針状葉,,,,,針状葉,針状葉;針葉
trait-candidate-0007,ダイオウマツ,,マツ科,Pinus,常緑,針葉樹,単葉,束生,,,入力支援候補。公開前に要確認,50,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,マツ属,Pinus,針状葉,,束状,,,針状葉;針状葉 束状;束状;常緑樹,常緑;針状葉;束生;束状
trait-candidate-0008,ヒマラヤスギ,,マツ科,Cedrus,,針葉樹,単葉,束生,,,入力支援候補。公開前に要確認,51,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,ヒマラヤスギ属,Cedrus,針状葉,,束状,,,針状葉;束状,針状葉;束生;束状
trait-candidate-0009,カラマツ,,マツ科,Larix,落葉,針葉樹,単葉,束生,,,入力支援候補。公開前に要確認,52,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,カラマツ属,Larix,針状葉,,束状,,,針状葉 束状;針状葉;束状;落葉樹,落葉;針状葉;針葉;束状
trait-candidate-0010,トドマツ,,マツ科,Abies,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,53,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,モミ属,Abies,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
